ASIN,Category,Product Link,No of Sellers,Rank,Rating,Reviews Count,Price,Product_Name,Description,Image_URL
B079QHML21,Electronics,https://www.amazon.com/gp/offer-listing/B079QHML21/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,1,4.7,640721,39.99,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision,"Cinematic experience - Watch in vibrant 4K Ultra HD with support for Dolby Vision, HDR, and HDR10+. | Home theater audio with Dolby Atmos - Feel scenes come to life with support for immersive Dolby Atmos audio on select titles with compatible home audio systems. | Endless entertainment - Stream more than 1 million movies and TV episodes from Netflix, Prime Video, Disney+, Peacock, and more, plus listen to millions of songs. Subscription fees may apply. | Live and free TV - Watch live TV, news, and sports with subscriptions to SLING TV, YouTube TV, and others. Stream for free with Pluto TV, IMDb TV, YouTube and more. | Alexa Voice Remote lets you use your voice to search and launch shows across apps. Plus, control power and volume on your TV and soundbar with a single remote.",https://m.media-amazon.com/images/I/11VDn4unsKL._AC_SX300_SY300_QL70_FMwebp_.jpg
B07FZ8S74R,Electronics,https://www.amazon.com/gp/offer-listing/B07FZ8S74R/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,2,4.7,854114,34.99,"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal","MEET ECHO DOT - Our most compact smart speaker that fits perfectly into small spaces. | RICH AND LOUD SOUND - Better speaker quality than Echo Dot Gen 2 for richer and louder sound. Pair with a second Echo Dot for stereo sound. | ALEXA HELPS YOU DO MORE WITH PRIME - Listen to millions of songs with Amazon Music, use your voice to for 2-day shipping, listen to audiobooks on Audible, and much more. | MAKE YOUR LIFE EASIER - Alexa can set timers, check the weather, read the news, adjust thermostats, answer questions, and more to help with daily tasks. | DESIGNED TO PROTECT YOUR PRIVACY – Built with multiple layers of privacy controls including the ability to delete your recordings, mute your mic, and more in-app privacy controls.",https://m.media-amazon.com/images/I/61MZfowYoaL._AC_SL1000_.jpg
B07XJ8C8F5,Electronics,https://www.amazon.com/gp/offer-listing/B07XJ8C8F5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,3,4.7,267821,44.99,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal","Meet the Echo Dot - Our most popular smart speaker with Alexa. The sleek, compact design delivers crisp vocals and balanced bass for full sound. | Voice control your entertainment - Stream songs from Amazon Music, Apple Music, Spotify, SiriusXM, and others. Play music, audiobooks, and podcasts throughout your home with multi-room music. | Ready to help - Ask Alexa to tell a joke, play music, answer questions, play the news, check the weather, set alarms, and more. | Control your smart home - Use your voice to turn on lights, adjust thermostats, and lock doors with compatible devices. | Start Routines with your motion - Turn on compatible lights, play your Flash Briefing, or turn on the coffee maker when you walk into the room.",https://m.media-amazon.com/images/I/21Q1l9xX--L._AC_SX300_SY300_QL70_ML2_.jpg
B07WVFCVJN,Electronics,https://www.amazon.com/gp/offer-listing/B07WVFCVJN/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,27,4,4.8,114267,28.48,"Roku Express | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV","Watch what you love: Start streaming with a massive selection of free, live, and premium TV, including Roku Originals and 275 plus live TV channels for free on The Roku Channel | Quick and easy setup: It’s easy to get started with everything you need included in the box, including a High Speed HDMI Cable—just plug it into your TV and connect to the internet | Tons of power, tons of fun: Compact and power-packed, you'll stream your favorites with ease, including movies and series on HBO Max, Netflix, Disney plus, and Prime Video | Simple remote: Incredibly easy to use, this remote features shortcut buttons to popular streaming channels | The free Roku mobile app: Control your Roku device with a convenient second remote, search with your voice, enjoy private listening with wireless headphones, and more on your iOS or Android device",https://m.media-amazon.com/images/I/61AUMi+JL0L._AC_SL1500_.jpg
B08YT2N5SX,Electronics,https://www.amazon.com/gp/offer-listing/B08YT2N5SX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,5,4.7,267821,49.99,Echo Dot (4th Gen) | Charcoal with Sengled Bluetooth Color bulb | Alexa smart home starter kit,"This bundle contains Echo Dot (4th Gen) Charcoal and Sengled Bluetooth Color bulb. | Control your lights without getting up - Use your voice to control your smart light bulb by saying, ""Alexa, turn on the lights"" for a hands free experience. | Simple to set up and use - To set up your bulb, plug in and set up your Echo device, plug in your bulb, and ask, “Alexa, discover my devices."" Use your voice to name your bulb and begin using immediately. | No smart home hub required - Set up routines and schedules through the Alexa app. | Expand your Smart Home - Easily manage your smart home using your voice to turn on lights, adjust thermostats, and lock doors with compatible devices.",https://m.media-amazon.com/images/I/81lED6IfqhS._AC_SL1500_.jpg
B07TMJ1R3X,Electronics,https://www.amazon.com/gp/offer-listing/B07TMJ1R3X/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,6,4.6,100278,89.99,"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Black","8"" HD display, 2X the storage (32 or 64 GB of internal storage and up to 1 TB with microSD card) + 2 GB RAM. 10th generation (2020 release). | All-day battery life - Up to 12 hours of reading, browsing the web, watching videos, and listening to music. | Now with USB-C for easier charging. Fully charges in under 5 hours (with included cable + adapter). | 30% faster thanks to the new 2.0 GHz quad-core processor. | Enjoy your favorite apps like Netflix, Facebook, Hulu, Instagram, TikTok, and more through Amazon’s Appstore (Google Play not supported).",https://m.media-amazon.com/images/I/71FpwqhD+DL._AC_SL1500_.jpg
B07X6C9RMF,Electronics,https://www.amazon.com/gp/offer-listing/B07X6C9RMF/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,7,4.5,111650,34.99,"Blink Mini - Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)","Monitor the inside of your home day and night with our 1080P HD indoor plug-in smart security camera with motion detection and two-way audio. | See, hear, and speak to people and pets in your home from your smartphone with Blink Mini’s live view and two-way audio. | Get alerts on your smartphone whenever motion is detected or customize motion detection zones so you can see what matters most. | Use Mini as an indoor plug-in chime for Blink Video Doorbell. Hear a real-time alert from Mini when someone presses your Video Doorbell. | Choose to save and share clips with a free 30-day trial of the Blink Subscription Plan or locally with the Sync Module 2 (sold separately).",https://m.media-amazon.com/images/I/51vncWY4ROL._AC_SL1000_.jpg
B08BX7FV5L,Electronics,https://www.amazon.com/gp/offer-listing/B08BX7FV5L/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,8,4.5,1228,149.99,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black","BRIGHT DISPLAY - Clear 10.1"" 1080p Full HD display with more than 2 million pixels. Fire HD 10 is almost 20% brighter than Samsung Galaxy Tab A8 (2022). | LONG LASTING BATTERY - 12-hour battery and 32 or 64 GB internal storage. Add up to 1 TB with microSD (sold separately). | DESIGNED TO BE RESPONSIVE - Fast octa-core processor and 3 GB RAM. | ENJOY DOWNTIME- Enjoy your favorite apps like Netflix, Facebook, Hulu, Instagram, TikTok, and more through Amazon’s Appstore (Google Play not supported. Subscription for some apps required). | STAY CONNECTED - Download apps like Zoom, or ask Alexa to make video calls to friends and family.",https://m.media-amazon.com/images/I/61y-9Uk3D1L._AC_SL1000_.jpg
B075XLWML4,Electronics,https://www.amazon.com/gp/offer-listing/B075XLWML4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,67,9,4.7,85934,39.0,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls,"Wireless that goes the distance: Basement rec room. Backyard movie night. Bring ‘em on. The long-range wireless receiver gives you extended range and a stronger signal for smooth streaming even in rooms farther from your router | Brilliant picture quality: Experience your favorite shows with stunning detail and clarity—whether you’re streaming in HD, 4K, or HDR, you’ll enjoy picture quality that’s optimized for your TV with sharp resolution and vivid color | Tons of power, tons of fun: Snappy and responsive, you’ll stream your favorites with ease—from movies and series on Apple TV, Prime Video, and Netflix, to cable alternatives like Sling, enjoy the most talked-about TV across thousands of channels | No more juggling remotes: Power up your TV, adjust the volume, mute, and control your streaming all with one remote—use your voice to quickly search across channels, turn captions on, and more in a touch | Setup is a cinch: Plug it in, connect to the internet, and start streaming—it’s that simple",https://m.media-amazon.com/images/I/61NcquKe00L._AC_SL1500_.jpg
B089DR29T6,Electronics,https://www.amazon.com/gp/offer-listing/B089DR29T6/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,10,4.7,434174,24.99,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities","Amazon Smart Plug works with Alexa to add voice control to any outlet. | Simple to set up and use—plug in, open the Alexa app, and get started in minutes. | Compatible with many lamps, fans, coffee makers, and other household devices with a physical on/off switch. | Compact design keeps your second outlet free for an additional smart plug. | No smart home hub required. Manage all your Amazon Smart Plugs through the Alexa app.",https://m.media-amazon.com/images/I/711nxnsm6nL._AC_SL1500_.jpg
